,VFID,strain,VF_Name,cate,pro_Name
VFG050484(gb|WP_001152285.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,gspO/pilD
VFG050499(gb|WP_000755268.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,tsaP
VFG050514(gb|WP_001214067.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,fimU
VFG050527(gb|WP_002194578.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilV
VFG050540(gb|WP_000079192.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilW
VFG050554(gb|WP_000149377.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilX
VFG050567(gb|WP_000768964.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilY1
VFG050581(gb|WP_001046420.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,ACICU_RS16840
VFG050595(gb|WP_000788342.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilE
VFG050610(gb|WP_000477147.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,fimT
VFG050625(gb|WP_000389061.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilG
VFG050640(gb|WP_000101096.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilH
VFG050655(gb|WP_000729757.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilI
VFG050670(gb|WP_000505931.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilJ
VFG050685(gb|WP_001160337.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilS
VFG050699(gb|WP_000840548.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilR
VFG050712(gb|WP_000730343.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspN
VFG050727(gb|WP_000870033.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspC
VFG050742(gb|WP_001196426.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspD
VFG050757(gb|WP_001166319.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspE1
VFG050772(gb|WP_001020922.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspE2
VFG050787(gb|WP_001112089.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspF
VFG050802(gb|WP_000865310.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspG
VFG050817(gb|WP_000841373.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspH
VFG050832(gb|WP_000836911.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspI
VFG050860(gb|WP_000301479.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspK
VFG050874(gb|WP_001989189.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspL
VFG050889(gb|WP_000783000.1),VF1335,Acinetobacter baumannii ACICU,T2SS,Effector delivery system,gspM
VFG050901(gb|WP_005119983.1),VF1336,Acinetobacter baumannii BJAB0715,CpaA,Exoenzyme,cpaA
VFG050910(gb|WP_001178477.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,vgrG/tssI
VFG050911(gb|WP_000934999.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,vgrG/tssI
VFG050912(gb|WP_000898330.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,vgrG/tssI
VFG050946(gb|WP_000083625.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssL
VFG050959(gb|WP_000556915.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssM
VFG050972(gb|WP_000972583.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tagX
VFG050986(gb|WP_001047031.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssE
VFG051000(gb|WP_000568832.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssF
VFG051014(gb|WP_001190395.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssG
VFG051028(gb|WP_000471445.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssK
VFG051042(gb|WP_000653195.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,hcp/tssD
VFG051056(gb|WP_001119042.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssB
VFG051070(gb|WP_001066523.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssC
VFG051084(gb|WP_000020713.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,tssA
VFG051098(gb|WP_002001416.1),VF1337,Acinetobacter baumannii ACICU,T6SS,Effector delivery system,clpV/tssH
VFG051109(gb|YP_001083177.1),VF1338,Acinetobacter baumannii ATCC 17978,T6SS secreted effectors,Effector delivery system,tse1
VFG051110(gb|YP_001083606.1),VF1338,Acinetobacter baumannii ATCC 17978,T6SS secreted effectors,Effector delivery system,tse2
VFG051111(gb|YP_001084320.1),VF1338,Acinetobacter baumannii ATCC 17978,T6SS secreted effectors,Effector delivery system,tse3
VFG051112(gb|YP_001086354.1),VF1338,Acinetobacter baumannii ATCC 17978,T6SS secreted effectors,Effector delivery system,tse4
VFG038261(gb|WP_016352107),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeA
VFG038265(gb|WP_016352108),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeB
VFG038269(gb|WP_075384415),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeC
VFG038273(gb|WP_016349335),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeD
VFG038277(gb|WP_016349336),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeE
VFG038281(gb|WP_016349337),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeF
VFG038285(gb|WP_005308483),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeG
VFG038289(gb|WP_016349339),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeH
VFG038293(gb|WP_016349340),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeI
VFG038297(gb|WP_016349341),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeJ
VFG038301(gb|WP_016349342),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeK
VFG038305(gb|WP_016349343),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeL
VFG038309(gb|WP_016349344),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeM
VFG038313(gb|WP_043118380),VF0478,Aeromonas hydrophila ML09-119,Exe T2SS,Effector delivery system,exeN
VFG038317(gb|WP_016352170),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapD/pilD
VFG038320(gb|WP_005320812),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascL
VFG038321(gb|WP_005320811),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascK
VFG038322(gb|WP_180975055),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascJ
VFG038323(gb|WP_005320806),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascI
VFG038324(gb|WP_005320804),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascH
VFG038325(gb|WP_005320802),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascG
VFG038326(gb|WP_005320800),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascF
VFG038327(gb|WP_005320797),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascE
VFG038328(gb|WP_005320795),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascD
VFG038329(gb|WP_011899438),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascC
VFG038330(gb|WP_011899439),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascB
VFG038331(gb|WP_005320790),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,exsD
VFG038332(gb|WP_192914500),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,exsA
VFG038333(gb|WP_011899440),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,exsB
VFG038334(gb|WP_005320785),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,exsE
VFG038335(gb|WP_005320783),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,exsC
VFG038336(gb|WP_005320781),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,aopD
VFG038337(gb|WP_005320780),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,aopB
VFG038338(gb|WP_005320778),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,acrH
VFG038339(gb|WP_005320777),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,acrV
VFG038340(gb|WP_005320774),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,acrG
VFG038341(gb|WP_005320772),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,acrR
VFG038342(gb|WP_005320770),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascV
VFG038343(gb|WP_005320768),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascY
VFG038344(gb|WP_005320766),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascX
VFG038345(gb|WP_005320764),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,acr2
VFG038346(gb|WP_005320760),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,acr1
VFG038347(gb|WP_005320757),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,aopN
VFG038348(gb|WP_005320755),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascN
VFG038349(gb|WP_005320751),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascO
VFG038350(gb|WP_005320749),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascP
VFG038351(gb|WP_005320747),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascQ
VFG038352(gb|WP_005320745),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascR
VFG038353(gb|WP_005320743),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascS
VFG038354(gb|WP_005320741),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascT
VFG038355(gb|WP_005320739),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ascU
VFG038356,VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,VF0479
VFG038357(gb|WP_005320736),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,sycX
VFG038358(gb|WP_005321603),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,sycH
VFG038359(gb|WP_005321607),VF0652,Aeromonas salmonicida subsp. salmonicida A449,T3SS secreted effectors,Effector delivery system,aopH
VFG038360(gb|WP_011899436),VF0652,Aeromonas salmonicida subsp. salmonicida A449,T3SS secreted effectors,Effector delivery system,ati2
VFG038361(gb|WP_005320818),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,ati1
VFG038362(gb|WP_005321180),VF0479,Aeromonas salmonicida subsp. salmonicida A449,T3SS,Effector delivery system,sycO
VFG038363(gb|WP_005321178),VF0652,Aeromonas salmonicida subsp. salmonicida A449,T3SS secreted effectors,Effector delivery system,aopO
VFG038364(gb|WP_005320615),VF0652,Aeromonas salmonicida subsp. salmonicida A449,T3SS secreted effectors,Effector delivery system,aexT
VFG038365(gb|WP_011705044),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,hcp1
VFG038367(gb|WP_011705045),VF0651,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS secreted effectors,Effector delivery system,vgrG1
VFG038369(gb|WP_011705706),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,hcp
VFG038371(gb|WP_011705707),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,vgrG2
VFG038373(gb|WP_011705708),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsA
VFG038374(gb|WP_011705709),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsB
VFG038375(gb|WP_011705710),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsC
VFG038376(gb|WP_164927604),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsD
VFG038378(gb|WP_011705712),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,vipA
VFG038380(gb|WP_043163044),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,vipB
VFG038381(gb|WP_011705714),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsG
VFG038383(gb|WP_011705715),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsH
VFG038385(gb|WP_011705716),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsI
VFG038387(gb|WP_011705717),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsJ
VFG038389(gb|WP_011705718),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsK
VFG038391(gb|WP_011705719),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsL
VFG038393(gb|WP_010634228),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,dotU
VFG038395(gb|WP_011705721),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,clpB
VFG038397(gb|WP_011705722),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,vasH
VFG038399(gb|WP_011705723),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsP
VFG038401(gb|WP_011705724),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsQ
VFG038402(gb|WP_011705725),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,vasK/icmF
VFG038403(gb|WP_011705726),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,atsS
VFG038405(gb|WP_011705727),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,AHA_RS09305
VFG038407(gb|WP_011705728),VF0480,Aeromonas hydrophila subsp. hydrophila ATCC 7966,T6SS,Effector delivery system,vgrG3
VFG038409(gb|WP_011704492),VF0486,Aeromonas hydrophila ML09-119,Type I pili,Adherence,fimA
VFG038413(gb|WP_043118350),VF0486,Aeromonas hydrophila ML09-119,Type I pili,Adherence,fimC
VFG038417(gb|WP_016349294),VF0486,Aeromonas hydrophila ML09-119,Type I pili,Adherence,fimD
VFG038421(gb|WP_043118352),VF0486,Aeromonas hydrophila ML09-119,Type I pili,Adherence,fimE
VFG038425(gb|WP_016349296),VF0486,Aeromonas hydrophila ML09-119,Type I pili,Adherence,fimF
VFG038429(gb|WP_016352167),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapA
VFG038432(gb|WP_016352168),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapB
VFG038436(gb|WP_016352169),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapC
VFG038444(gb|WP_075384315),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapM
VFG038448(gb|WP_016351632),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapN
VFG038452(gb|WP_016351631),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapO
VFG038456(gb|WP_016351630),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapP
VFG038460(gb|WP_043119325),VF0475,Aeromonas hydrophila ML09-119,Tap type IV pili,Adherence,tapQ
